Season,Overall Rank,Team,Country,League Rank,Matches Played,Wins,Draws,Losses,Goals For,Goals Against,Goal Difference,Points,Points Per Match,Expected Goals,Expected Goals Against,Expected Goal Difference,Expected Goal Difference Per Match
2020-2021,1,Inter,it,1,38,28,7,3,89,35,54.0,91,2.39,74.8,38.6,36.199999999999996,0.9526315789473683
2020-2021,2,Bayern Munich,de,1,34,24,6,4,99,44,55.0,78,2.29,75.8,41.0,34.8,1.0235294117647058
2020-2021,3,Manchester City,eng,1,38,27,5,6,83,32,51.0,86,2.26,73.3,31.4,41.9,1.1026315789473684
2020-2021,4,Atlético Madrid,es,1,38,26,8,4,67,25,42.0,86,2.26,52.4,32.7,19.699999999999996,0.5184210526315788
2020-2021,5,Real Madrid,es,2,38,25,9,4,67,28,39.0,84,2.21,61.5,36.5,25.0,0.6578947368421053
2020-2021,6,Lille,fr,1,38,24,11,3,64,23,41.0,83,2.18,50.0,26.7,23.3,0.6131578947368421
2020-2021,7,Paris S-G,fr,2,38,26,4,8,86,28,58.0,82,2.16,82.4,37.3,45.10000000000001,1.1868421052631581
2020-2021,8,Barcelona,es,3,38,24,7,7,85,38,47.0,79,2.08,78.9,39.6,39.300000000000004,1.0342105263157897
2020-2021,9,Milan,it,2,38,24,7,7,74,41,33.0,79,2.08,71.2,45.7,25.5,0.6710526315789473
2020-2021,10,Atalanta,it,3,38,23,9,6,90,47,43.0,78,2.05,77.2,42.3,34.900000000000006,0.9184210526315791
2020-2021,11,Juventus,it,4,38,23,9,6,77,38,39.0,78,2.05,74.2,38.2,36.0,0.9473684210526315
2020-2021,12,Monaco,fr,3,38,24,6,8,76,42,34.0,78,2.05,66.9,33.1,33.800000000000004,0.8894736842105264
2020-2021,13,Napoli,it,5,38,24,5,9,86,41,45.0,77,2.03,67.7,41.6,26.1,0.6868421052631579
2020-2021,14,Sevilla,es,4,38,24,5,9,53,33,20.0,77,2.03,50.9,35.0,15.899999999999999,0.4184210526315789
2020-2021,15,Lyon,fr,4,38,22,10,6,81,43,38.0,76,2.00,84.6,43.2,41.39999999999999,1.0894736842105261
2020-2021,16,Manchester Utd,eng,2,38,21,11,6,73,44,29.0,74,1.95,60.2,42.2,18.0,0.47368421052631576
2020-2021,17,RB Leipzig,de,2,34,19,8,7,60,32,28.0,65,1.91,65.3,29.1,36.199999999999996,1.064705882352941
2020-2021,18,Dortmund,de,3,34,20,4,10,75,46,29.0,64,1.88,68.6,40.4,28.199999999999996,0.8294117647058822
2020-2021,19,Liverpool,eng,3,38,20,9,9,68,42,26.0,69,1.82,72.6,45.3,27.299999999999997,0.7184210526315788
2020-2021,20,Wolfsburg,de,4,34,17,10,7,61,37,24.0,61,1.79,49.5,42.0,7.5,0.22058823529411764
2020-2021,21,Lazio,it,6,38,21,5,12,61,55,6.0,68,1.79,59.8,47.8,12.0,0.3157894736842105
2020-2021,22,Chelsea,eng,4,38,19,10,9,58,36,22.0,67,1.76,64.0,32.8,31.200000000000003,0.8210526315789475
2020-2021,23,Eint Frankfurt,de,5,34,16,12,6,69,53,16.0,60,1.76,56.1,48.4,7.700000000000003,0.2264705882352942
2020-2021,24,Leicester City,eng,5,38,20,6,12,68,50,18.0,66,1.74,56.0,47.7,8.299999999999997,0.21842105263157888
2020-2021,25,West Ham,eng,6,38,19,8,11,62,47,15.0,65,1.71,53.9,48.3,5.600000000000001,0.14736842105263162
2020-2021,26,Tottenham,eng,7,38,18,8,12,68,45,23.0,62,1.63,54.5,49.5,5.0,0.13157894736842105
2020-2021,27,Real Sociedad,es,5,38,17,11,10,59,38,21.0,62,1.63,60.4,36.6,23.799999999999997,0.6263157894736842
2020-2021,28,Roma,it,7,38,18,8,12,68,58,10.0,62,1.63,68.9,51.4,17.500000000000007,0.4605263157894739
2020-2021,29,Sassuolo,it,8,38,17,11,10,64,56,8.0,62,1.63,59.2,54.9,4.300000000000004,0.11315789473684222
2020-2021,30,Arsenal,eng,8,38,18,7,13,55,39,16.0,61,1.61,53.5,44.3,9.200000000000003,0.24210526315789482
2020-2021,31,Betis,es,6,38,17,10,11,50,50,0.0,61,1.61,46.0,45.5,0.5,0.013157894736842105
2020-2021,32,Marseille,fr,5,38,16,12,10,54,47,7.0,60,1.58,47.5,46.0,1.5,0.039473684210526314
2020-2021,33,Leeds United,eng,9,38,18,5,15,62,54,8.0,59,1.55,57.5,62.9,-5.399999999999999,-0.1421052631578947
2020-2021,34,Everton,eng,10,38,17,8,13,47,48,-1.0,59,1.55,47.1,52.0,-4.899999999999999,-0.1289473684210526
2020-2021,35,Villarreal,es,7,38,15,13,10,60,44,16.0,58,1.53,58.0,43.5,14.5,0.3815789473684211
2020-2021,36,Leverkusen,de,6,34,14,10,10,53,39,14.0,52,1.53,47.2,40.4,6.800000000000004,0.20000000000000012
2020-2021,37,Rennes,fr,6,38,16,10,12,52,40,12.0,58,1.53,50.0,40.0,10.0,0.2631578947368421
2020-2021,38,Lens,fr,7,38,15,12,11,55,54,1.0,57,1.50,56.0,47.6,8.399999999999999,0.22105263157894733
2020-2021,39,Union Berlin,de,7,34,12,14,8,50,43,7.0,50,1.47,45.8,41.3,4.5,0.1323529411764706
2020-2021,40,Aston Villa,eng,11,38,16,7,15,55,46,9.0,55,1.45,52.9,52.9,0.0,0.0
2020-2021,41,M'Gladbach,de,8,34,13,10,11,64,56,8.0,49,1.44,55.2,44.7,10.5,0.3088235294117647
2020-2021,42,Montpellier,fr,8,38,14,12,12,60,62,-2.0,54,1.42,47.9,65.7,-17.800000000000004,-0.46842105263157907
2020-2021,43,Celta Vigo,es,8,38,14,11,13,55,57,-2.0,53,1.39,47.7,49.5,-1.7999999999999972,-0.047368421052631504
2020-2021,44,Sampdoria,it,9,38,15,7,16,52,54,-2.0,52,1.37,46.2,56.9,-10.699999999999996,-0.28157894736842093
2020-2021,45,Nice,fr,9,38,15,7,16,50,53,-3.0,52,1.37,46.9,52.1,-5.200000000000003,-0.13684210526315796
2020-2021,46,Stuttgart,de,9,34,12,9,13,56,55,1.0,45,1.32,53.2,53.3,-0.09999999999999432,-0.0029411764705880683
2020-2021,47,Freiburg,de,10,34,12,9,13,52,52,0.0,45,1.32,46.2,53.7,-7.5,-0.22058823529411764
2020-2021,48,Hoffenheim,de,11,34,11,10,13,52,54,-2.0,43,1.26,51.8,53.3,-1.5,-0.04411764705882353
2020-2021,49,Metz,fr,10,38,12,11,15,44,48,-4.0,47,1.24,41.3,49.3,-8.0,-0.21052631578947367
2020-2021,50,Athletic Club,es,10,38,11,13,14,46,42,4.0,46,1.21,44.4,36.3,8.100000000000001,0.21315789473684213
2020-2021,51,Saint-Étienne,fr,11,38,12,10,16,42,54,-12.0,46,1.21,48.2,48.5,-0.29999999999999716,-0.007894736842105189
2020-2021,52,Granada,es,9,38,13,7,18,47,65,-18.0,46,1.21,39.5,53.7,-14.200000000000003,-0.37368421052631584
2020-2021,53,Hellas Verona,it,10,38,11,12,15,46,48,-2.0,45,1.18,43.5,50.3,-6.799999999999997,-0.17894736842105255
2020-2021,54,Bordeaux,fr,12,38,13,6,19,42,56,-14.0,45,1.18,41.9,56.7,-14.800000000000004,-0.3894736842105264
2020-2021,55,Newcastle Utd,eng,12,38,12,9,17,46,62,-16.0,45,1.18,41.0,54.0,-13.0,-0.34210526315789475
2020-2021,56,Wolves,eng,13,38,12,9,17,36,52,-16.0,45,1.18,39.9,45.8,-5.899999999999999,-0.1552631578947368
2020-2021,57,Osasuna,es,11,38,11,11,16,37,48,-11.0,44,1.16,37.6,51.3,-13.699999999999996,-0.3605263157894736
2020-2021,58,Angers,fr,13,38,12,8,18,40,58,-18.0,44,1.16,41.7,50.9,-9.199999999999996,-0.24210526315789463
2020-2021,59,Cádiz,es,12,38,11,11,16,36,58,-22.0,44,1.16,34.0,55.0,-21.0,-0.5526315789473685
2020-2021,60,Crystal Palace,eng,14,38,12,8,18,41,66,-25.0,44,1.16,32.4,57.5,-25.1,-0.6605263157894737
2020-2021,61,Mainz 05,de,12,34,10,9,15,39,56,-17.0,39,1.15,47.1,50.9,-3.799999999999997,-0.11176470588235286
2020-2021,62,Valencia,es,13,38,10,13,15,50,53,-3.0,43,1.13,43.9,53.9,-10.0,-0.2631578947368421
2020-2021,63,Southampton,eng,15,38,12,7,19,47,68,-21.0,43,1.13,42.4,54.2,-11.800000000000004,-0.3105263157894738
2020-2021,64,Reims,fr,14,38,9,15,14,42,50,-8.0,42,1.11,33.3,61.1,-27.800000000000004,-0.7315789473684212
2020-2021,65,Strasbourg,fr,15,38,11,9,18,49,58,-9.0,42,1.11,52.6,46.6,6.0,0.15789473684210525
2020-2021,66,Genoa,it,11,38,10,12,16,47,58,-11.0,42,1.11,37.8,54.5,-16.700000000000003,-0.4394736842105264
2020-2021,67,Lorient,fr,16,38,11,9,18,50,68,-18.0,42,1.11,48.8,53.1,-4.300000000000004,-0.11315789473684222
2020-2021,68,Brighton,eng,16,38,9,14,15,40,46,-6.0,41,1.08,51.6,37.7,13.899999999999999,0.3657894736842105
2020-2021,69,Levante,es,14,38,9,14,15,46,57,-11.0,41,1.08,41.0,53.9,-12.899999999999999,-0.33947368421052626
2020-2021,70,Bologna,it,12,38,10,11,17,51,65,-14.0,41,1.08,53.4,64.7,-11.300000000000004,-0.29736842105263167
2020-2021,71,Brest,fr,17,38,11,8,19,50,66,-16.0,41,1.08,47.5,55.6,-8.100000000000001,-0.21315789473684213
2020-2021,72,Augsburg,de,13,34,10,6,18,36,54,-18.0,36,1.06,36.1,55.6,-19.5,-0.5735294117647058
2020-2021,73,Nantes,fr,18,38,9,13,16,47,55,-8.0,40,1.05,48.9,55.8,-6.899999999999999,-0.181578947368421
2020-2021,74,Fiorentina,it,13,38,9,13,16,47,59,-12.0,40,1.05,45.2,55.1,-9.899999999999999,-0.26052631578947366
2020-2021,75,Udinese,it,14,38,10,10,18,42,58,-16.0,40,1.05,42.9,52.1,-9.200000000000003,-0.24210526315789482
2020-2021,76,Hertha BSC,de,14,34,8,11,15,41,52,-11.0,35,1.03,42.4,47.0,-4.600000000000001,-0.13529411764705887
2020-2021,77,Spezia,it,15,38,9,12,17,52,72,-20.0,39,1.03,46.7,69.3,-22.599999999999994,-0.594736842105263
2020-2021,78,Burnley,eng,17,38,10,9,19,33,55,-22.0,39,1.03,39.9,57.6,-17.700000000000003,-0.4657894736842106
2020-2021,79,Arminia,de,15,34,9,8,17,26,52,-26.0,35,1.03,30.7,55.7,-25.000000000000004,-0.7352941176470589
2020-2021,80,Getafe,es,15,38,9,11,18,28,43,-15.0,38,1.00,32.7,40.3,-7.599999999999994,-0.19999999999999984
2020-2021,81,Alavés,es,16,38,9,11,18,36,57,-21.0,38,1.00,42.4,50.8,-8.399999999999999,-0.22105263157894733
2020-2021,82,Cagliari,it,16,38,9,10,19,43,59,-16.0,37,0.97,45.5,63.1,-17.6,-0.46315789473684216
2020-2021,83,Torino,it,17,38,7,16,15,50,69,-19.0,37,0.97,50.2,59.0,-8.799999999999997,-0.23157894736842097
2020-2021,84,Köln,de,16,34,8,9,17,34,60,-26.0,33,0.97,39.1,55.3,-16.199999999999996,-0.476470588235294
2020-2021,85,Elche,es,17,38,8,12,18,34,55,-21.0,36,0.95,30.5,58.4,-27.9,-0.7342105263157894
2020-2021,86,Nîmes,fr,19,38,9,8,21,40,71,-31.0,35,0.92,41.4,64.9,-23.500000000000007,-0.6184210526315791
2020-2021,87,Werder Bremen,de,17,34,7,10,17,36,57,-21.0,31,0.91,33.8,51.0,-17.200000000000003,-0.5058823529411766
2020-2021,88,Huesca,es,18,38,7,13,18,34,53,-19.0,34,0.89,35.3,44.3,-9.0,-0.23684210526315788
2020-2021,89,Benevento,it,18,38,7,12,19,40,75,-35.0,33,0.87,41.6,66.1,-24.499999999999993,-0.6447368421052629
2020-2021,90,Valladolid,es,19,38,5,16,17,34,57,-23.0,31,0.82,37.1,51.8,-14.699999999999996,-0.38684210526315777
2020-2021,91,Eibar,es,20,38,6,12,20,29,52,-23.0,30,0.79,41.5,47.0,-5.5,-0.14473684210526316
2020-2021,92,Fulham,eng,18,38,5,13,20,27,53,-26.0,28,0.74,41.3,52.9,-11.600000000000001,-0.3052631578947369
2020-2021,93,West Brom,eng,19,38,5,11,22,35,76,-41.0,26,0.68,33.8,67.7,-33.900000000000006,-0.8921052631578948
2020-2021,94,Sheffield Utd,eng,20,38,7,2,29,20,63,-43.0,23,0.61,31.4,62.4,-31.0,-0.8157894736842105
2020-2021,95,Crotone,it,19,38,6,5,27,45,92,-47.0,23,0.61,38.5,71.6,-33.099999999999994,-0.8710526315789472
2020-2021,96,Dijon,fr,20,38,4,9,25,25,73,-48.0,21,0.55,31.5,75.3,-43.8,-1.1526315789473685
2020-2021,97,Parma,it,20,38,3,11,24,39,83,-44.0,20,0.53,40.0,61.4,-21.4,-0.5631578947368421
2020-2021,98,Schalke 04,de,18,34,3,7,24,25,86,-61.0,16,0.47,27.0,68.0,-41.0,-1.2058823529411764
2019-2020,1,Liverpool,eng,1,38,32,3,3,85,33,52.0,99,2.61,71.5,40.0,31.5,0.8289473684210527
2019-2020,2,Paris S-G,fr,1,27,22,2,3,75,24,51.0,68,2.52,70.9,22.8,48.10000000000001,1.7814814814814819
2019-2020,3,Bayern Munich,de,1,34,26,4,4,100,32,68.0,82,2.41,82.3,34.3,48.0,1.411764705882353
2019-2020,4,Real Madrid,es,1,38,26,9,3,70,25,45.0,87,2.29,63.4,28.4,35.0,0.9210526315789473
2019-2020,5,Juventus,it,1,38,26,5,7,76,43,33.0,83,2.18,68.7,41.8,26.900000000000006,0.7078947368421055
2019-2020,6,Barcelona,es,2,38,25,7,6,86,38,48.0,82,2.16,66.2,36.0,30.200000000000003,0.7947368421052632
2019-2020,7,Inter,it,2,38,24,10,4,81,36,45.0,82,2.16,72.3,40.6,31.699999999999996,0.8342105263157894
2019-2020,8,Manchester City,eng,2,38,26,3,9,102,35,67.0,81,2.13,93.0,34.7,58.3,1.5342105263157895
2019-2020,9,Atalanta,it,3,38,23,9,6,98,48,50.0,78,2.05,81.8,41.4,40.4,1.063157894736842
2019-2020,10,Lazio,it,4,38,24,6,8,79,42,37.0,78,2.05,68.4,49.5,18.900000000000006,0.49736842105263174
2019-2020,11,Dortmund,de,2,34,21,6,7,84,41,43.0,69,2.03,59.2,39.4,19.800000000000004,0.5823529411764707
2019-2020,12,Marseille,fr,2,28,16,8,4,41,29,12.0,56,2.00,34.7,30.5,4.200000000000003,0.1500000000000001
2019-2020,13,RB Leipzig,de,3,34,18,12,4,81,37,44.0,66,1.94,71.0,36.2,34.8,1.0235294117647058
2019-2020,14,M'Gladbach,de,4,34,20,5,9,66,40,26.0,65,1.91,66.4,42.4,24.000000000000007,0.7058823529411766
2019-2020,15,Leverkusen,de,5,34,19,6,9,61,44,17.0,63,1.85,56.6,45.1,11.5,0.3382352941176471
2019-2020,16,Roma,it,5,38,21,7,10,77,51,26.0,70,1.84,72.6,48.3,24.299999999999997,0.6394736842105262
2019-2020,17,Atlético Madrid,es,3,38,18,16,4,51,27,24.0,70,1.84,52.6,30.8,21.8,0.5736842105263158
2019-2020,18,Sevilla,es,4,38,19,13,6,54,34,20.0,70,1.84,47.1,33.6,13.5,0.35526315789473684
2019-2020,19,Rennes,fr,3,28,15,5,8,38,24,14.0,50,1.79,36.3,29.4,6.899999999999999,0.24642857142857139
2019-2020,20,Lille,fr,4,28,15,4,9,35,27,8.0,49,1.75,39.7,29.8,9.900000000000002,0.35357142857142865
2019-2020,21,Manchester Utd,eng,3,38,18,12,8,66,36,30.0,66,1.74,59.4,37.4,22.0,0.5789473684210527
2019-2020,22,Milan,it,6,38,19,9,10,63,46,17.0,66,1.74,59.5,47.1,12.399999999999999,0.32631578947368417
2019-2020,23,Chelsea,eng,4,38,20,6,12,69,54,15.0,66,1.74,66.6,37.9,28.699999999999996,0.7552631578947367
2019-2020,24,Leicester City,eng,5,38,18,8,12,67,41,26.0,62,1.63,61.6,44.5,17.1,0.45
2019-2020,25,Napoli,it,7,38,18,8,12,61,50,11.0,62,1.63,62.4,39.4,23.0,0.6052631578947368
2019-2020,26,Villarreal,es,5,38,18,6,14,63,49,14.0,60,1.58,57.0,44.6,12.399999999999999,0.32631578947368417
2019-2020,27,Tottenham,eng,6,38,16,11,11,61,47,14.0,59,1.55,46.1,52.0,-5.899999999999999,-0.1552631578947368
2019-2020,28,Wolves,eng,7,38,15,14,9,51,40,11.0,59,1.55,47.1,34.8,12.300000000000004,0.3236842105263159
2019-2020,29,Hoffenheim,de,6,34,15,7,12,53,53,0.0,52,1.53,49.9,51.8,-1.8999999999999986,-0.05588235294117643
2019-2020,30,Arsenal,eng,8,38,14,14,10,56,48,8.0,56,1.47,49.2,56.6,-7.399999999999999,-0.19473684210526312
2019-2020,31,Real Sociedad,es,6,38,16,8,14,56,48,8.0,56,1.47,45.2,39.2,6.0,0.15789473684210525
2019-2020,32,Granada,es,7,38,16,8,14,52,45,7.0,56,1.47,40.9,41.1,-0.20000000000000284,-0.005263157894736917
2019-2020,33,Reims,fr,6,28,10,11,7,26,21,5.0,41,1.46,28.4,26.3,2.099999999999998,0.07499999999999993
2019-2020,34,Nice,fr,5,28,11,8,9,41,38,3.0,41,1.46,35.2,41.7,-6.5,-0.23214285714285715
2019-2020,35,Wolfsburg,de,7,34,13,10,11,48,46,2.0,49,1.44,47.3,40.1,7.199999999999996,0.21176470588235283
2019-2020,36,Lyon,fr,7,28,11,7,10,42,27,15.0,40,1.43,37.2,26.0,11.200000000000003,0.4000000000000001
2019-2020,37,Montpellier,fr,8,28,11,7,10,35,34,1.0,40,1.43,32.0,34.1,-2.1000000000000014,-0.07500000000000005
2019-2020,38,Monaco,fr,9,28,11,7,10,44,44,0.0,40,1.43,48.0,39.9,8.100000000000001,0.2892857142857143
2019-2020,39,Getafe,es,8,38,14,12,12,43,37,6.0,54,1.42,37.9,39.0,-1.1000000000000014,-0.02894736842105267
2019-2020,40,Sheffield Utd,eng,9,38,14,12,12,39,39,0.0,54,1.42,41.5,47.9,-6.399999999999999,-0.16842105263157892
2019-2020,41,Burnley,eng,10,38,15,9,14,43,50,-7.0,54,1.42,43.9,48.3,-4.399999999999999,-0.11578947368421048
2019-2020,42,Freiburg,de,8,34,13,9,12,48,47,1.0,48,1.41,41.7,60.9,-19.199999999999996,-0.5647058823529411
2019-2020,43,Strasbourg,fr,10,27,11,5,11,32,32,0.0,38,1.41,34.9,30.8,4.099999999999998,0.15185185185185177
2019-2020,44,Angers,fr,11,28,11,6,11,28,33,-5.0,39,1.39,27.0,28.7,-1.6999999999999993,-0.060714285714285686
2019-2020,45,Valencia,es,9,38,14,11,13,46,53,-7.0,53,1.39,40.3,52.3,-12.0,-0.3157894736842105
2019-2020,46,Osasuna,es,10,38,13,13,12,46,54,-8.0,52,1.37,44.5,46.2,-1.7000000000000028,-0.044736842105263235
2019-2020,47,Southampton,eng,11,38,15,7,16,51,60,-9.0,52,1.37,54.0,53.1,0.8999999999999986,0.023684210526315752
2019-2020,48,Sassuolo,it,8,38,14,9,15,69,63,6.0,51,1.34,56.0,63.8,-7.799999999999997,-0.20526315789473676
2019-2020,49,Athletic Club,es,11,38,13,12,13,41,38,3.0,51,1.34,38.5,46.2,-7.700000000000003,-0.2026315789473685
2019-2020,50,Bordeaux,fr,12,28,9,10,9,40,34,6.0,37,1.32,29.7,33.3,-3.599999999999998,-0.1285714285714285
2019-2020,51,Eint Frankfurt,de,9,34,13,6,15,59,60,-1.0,45,1.32,52.5,49.1,3.3999999999999986,0.09999999999999996
2019-2020,52,Nantes,fr,13,28,11,4,13,28,31,-3.0,37,1.32,27.8,33.6,-5.800000000000001,-0.20714285714285716
2019-2020,53,Fiorentina,it,10,38,12,13,13,51,48,3.0,49,1.29,54.7,48.9,5.800000000000004,0.15263157894736853
2019-2020,54,Parma,it,11,38,14,7,17,56,57,-1.0,49,1.29,46.6,62.1,-15.5,-0.40789473684210525
2019-2020,55,Hellas Verona,it,9,38,12,13,13,47,51,-4.0,49,1.29,49.2,52.5,-3.299999999999997,-0.08684210526315782
2019-2020,56,Levante,es,12,38,14,7,17,47,53,-6.0,49,1.29,41.9,60.7,-18.800000000000004,-0.49473684210526325
2019-2020,57,Everton,eng,12,38,13,10,15,44,56,-12.0,49,1.29,49.3,48.4,0.8999999999999986,0.023684210526315752
2019-2020,58,Bologna,it,12,38,12,11,15,52,65,-13.0,47,1.24,53.1,54.9,-1.7999999999999972,-0.047368421052631504
2019-2020,59,Brest,fr,14,28,8,10,10,34,37,-3.0,34,1.21,30.2,40.5,-10.3,-0.3678571428571429
2019-2020,60,Metz,fr,15,28,8,10,10,27,35,-8.0,34,1.21,27.3,34.2,-6.900000000000002,-0.2464285714285715
2019-2020,61,Hertha BSC,de,10,34,11,8,15,48,59,-11.0,41,1.21,40.6,51.4,-10.799999999999997,-0.31764705882352934
2019-2020,62,Union Berlin,de,11,34,12,5,17,41,58,-17.0,41,1.21,38.3,51.5,-13.200000000000003,-0.3882352941176471
2019-2020,63,Cagliari,it,14,38,11,12,15,52,56,-4.0,45,1.18,41.4,57.2,-15.800000000000004,-0.41578947368421065
2019-2020,64,Udinese,it,13,38,12,9,17,37,51,-14.0,45,1.18,40.6,51.7,-11.100000000000001,-0.29210526315789476
2019-2020,65,Newcastle Utd,eng,13,38,11,11,16,38,58,-20.0,44,1.16,33.1,58.3,-25.199999999999996,-0.663157894736842
2019-2020,66,Schalke 04,de,12,34,9,12,13,38,58,-20.0,39,1.15,35.4,49.7,-14.300000000000004,-0.42058823529411776
2019-2020,67,Crystal Palace,eng,14,38,11,10,17,31,50,-19.0,43,1.13,34.0,51.3,-17.299999999999997,-0.45526315789473676
2019-2020,68,Valladolid,es,13,38,9,15,14,32,43,-11.0,42,1.11,35.5,46.3,-10.799999999999997,-0.2842105263157894
2019-2020,69,Sampdoria,it,15,38,12,6,20,48,65,-17.0,42,1.11,51.2,53.3,-2.0999999999999943,-0.055263157894736695
2019-2020,70,Eibar,es,14,38,11,9,18,39,56,-17.0,42,1.11,41.4,51.0,-9.600000000000001,-0.2526315789473685
2019-2020,71,Mainz 05,de,13,34,11,4,19,44,65,-21.0,37,1.09,44.3,57.3,-13.0,-0.38235294117647056
2019-2020,72,Betis,es,15,38,10,11,17,48,60,-12.0,41,1.08,47.3,49.5,-2.200000000000003,-0.05789473684210534
2019-2020,73,Brighton,eng,15,38,9,14,15,39,54,-15.0,41,1.08,41.2,54.5,-13.299999999999997,-0.3499999999999999
2019-2020,74,Dijon,fr,16,28,7,9,12,27,37,-10.0,30,1.07,28.9,43.1,-14.200000000000003,-0.5071428571428572
2019-2020,75,Saint-Étienne,fr,17,28,8,6,14,29,45,-16.0,30,1.07,28.8,35.4,-6.599999999999998,-0.23571428571428563
2019-2020,76,Augsburg,de,15,34,9,9,16,45,63,-18.0,36,1.06,42.1,54.9,-12.799999999999997,-0.37647058823529406
2019-2020,77,Köln,de,14,34,10,6,18,51,69,-18.0,36,1.06,47.2,51.5,-4.299999999999997,-0.12647058823529403
2019-2020,78,Torino,it,16,38,11,7,20,46,68,-22.0,40,1.05,42.4,62.8,-20.4,-0.5368421052631579
2019-2020,79,West Ham,eng,16,38,10,9,19,49,62,-13.0,39,1.03,46.2,61.1,-14.899999999999999,-0.3921052631578947
2019-2020,80,Alavés,es,16,38,10,9,19,34,59,-25.0,39,1.03,37.0,53.2,-16.200000000000003,-0.42631578947368426
2019-2020,81,Genoa,it,17,38,10,9,19,47,73,-26.0,39,1.03,47.4,59.2,-11.800000000000004,-0.3105263157894738
2019-2020,82,Celta Vigo,es,17,38,7,16,15,37,49,-12.0,37,0.97,37.7,42.0,-4.299999999999997,-0.11315789473684203
2019-2020,83,Nîmes,fr,18,28,7,6,15,29,44,-15.0,27,0.96,29.6,44.0,-14.399999999999999,-0.5142857142857142
2019-2020,84,Leganés,es,18,38,8,12,18,30,51,-21.0,36,0.95,37.3,39.0,-1.7000000000000028,-0.044736842105263235
2019-2020,85,Aston Villa,eng,17,38,9,8,21,41,67,-26.0,35,0.92,40.1,65.9,-25.800000000000004,-0.6789473684210527
2019-2020,86,Lecce,it,18,38,9,8,21,52,85,-33.0,35,0.92,53.9,84.0,-30.1,-0.7921052631578948
2019-2020,87,Werder Bremen,de,16,34,8,7,19,42,69,-27.0,31,0.91,41.4,48.1,-6.700000000000003,-0.19705882352941184
2019-2020,88,Bournemouth,eng,18,38,9,7,22,40,65,-25.0,34,0.89,42.7,57.5,-14.799999999999997,-0.38947368421052625
2019-2020,89,Watford,eng,19,38,8,10,20,36,64,-28.0,34,0.89,45.1,57.3,-12.199999999999996,-0.32105263157894726
2019-2020,90,Düsseldorf,de,17,34,6,12,16,36,67,-31.0,30,0.88,33.0,56.2,-23.200000000000003,-0.6823529411764707
2019-2020,91,Mallorca,es,19,38,9,6,23,40,65,-25.0,33,0.87,39.2,60.6,-21.4,-0.5631578947368421
2019-2020,92,Amiens,fr,19,28,4,11,13,31,50,-19.0,23,0.82,26.7,35.4,-8.7,-0.31071428571428567
2019-2020,93,Espanyol,es,20,38,5,10,23,27,58,-31.0,25,0.66,33.0,44.4,-11.399999999999999,-0.3
2019-2020,94,Brescia,it,19,38,6,7,25,35,79,-44.0,25,0.66,42.4,77.6,-35.199999999999996,-0.9263157894736841
2019-2020,95,Paderborn 07,de,18,34,4,8,22,37,74,-37.0,20,0.59,38.4,67.5,-29.1,-0.8558823529411765
2019-2020,96,Norwich City,eng,20,38,5,6,27,26,75,-49.0,21,0.55,38.0,61.9,-23.9,-0.6289473684210526
2019-2020,97,SPAL,it,20,38,5,5,28,27,77,-50.0,20,0.53,39.1,67.5,-28.4,-0.7473684210526316
2019-2020,98,Toulouse,fr,20,28,3,4,21,22,58,-36.0,13,0.46,30.1,44.2,-14.100000000000001,-0.5035714285714287
2018-2019,1,Manchester City,eng,1,38,32,2,4,95,23,72.0,98,2.58,84.5,25.3,59.2,1.5578947368421054
2018-2019,2,Liverpool,eng,2,38,30,7,1,89,22,67.0,97,2.55,75.3,30.8,44.5,1.1710526315789473
2018-2019,3,Paris S-G,fr,1,38,29,4,5,105,35,70.0,91,2.39,91.0,35.8,55.2,1.4526315789473685
2018-2019,4,Juventus,it,1,38,28,6,4,70,30,40.0,90,2.37,58.2,36.1,22.1,0.5815789473684211
2018-2019,5,Bayern Munich,de,1,34,24,6,4,88,32,56.0,78,2.29,80.8,25.9,54.9,1.6147058823529412
2018-2019,6,Barcelona,es,1,38,26,9,3,90,36,54.0,87,2.29,73.8,40.5,33.3,0.8763157894736842
2018-2019,7,Dortmund,de,2,34,23,7,4,81,44,37.0,76,2.24,58.4,39.5,18.9,0.5558823529411764
2018-2019,8,Napoli,it,2,38,24,7,7,74,36,38.0,79,2.08,68.1,34.5,33.599999999999994,0.8842105263157893
2018-2019,9,Atlético Madrid,es,2,38,22,10,6,55,29,26.0,76,2.00,46.0,38.7,7.299999999999997,0.19210526315789467
2018-2019,10,Lille,fr,2,38,22,9,7,68,33,35.0,75,1.97,58.4,42.8,15.600000000000001,0.41052631578947374
2018-2019,11,RB Leipzig,de,3,34,19,9,6,63,29,34.0,66,1.94,60.8,35.1,25.699999999999996,0.7558823529411763
2018-2019,12,Chelsea,eng,3,38,21,9,8,63,39,24.0,72,1.89,59.3,35.4,23.9,0.6289473684210526
2018-2019,13,Lyon,fr,3,38,21,9,8,70,47,23.0,72,1.89,73.8,42.2,31.599999999999994,0.8315789473684209
2018-2019,14,Tottenham,eng,4,38,23,2,13,67,39,28.0,71,1.87,58.3,45.4,12.899999999999999,0.33947368421052626
2018-2019,15,Arsenal,eng,5,38,21,7,10,73,51,22.0,70,1.84,59.1,53.8,5.300000000000004,0.13947368421052642
