Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,link,id,team
Valerio Verre,it ITA,MF,28.0,18,6,677.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.6,0.6,1.1,1.7,16.0,45.0,27.0,0.0,0.0,0.0,0.0,0.0,0.08,0.14,0.22,0.08,0.22,Matches,/en/players/33ecf462/Valerio-Verre,33ecf462,Sampdoria
Nicola Murru,it ITA,DF,27.0,20,5,784.0,8.7,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.1,0.1,7.0,27.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches,/en/players/d183e9d6/Nicola-Murru,d183e9d6,Sampdoria
Martin Turk,si SVN,GK,18.0,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,/en/players/14ae023f/Martin-Turk,14ae023f,Sampdoria
Daniele Montevago,it ITA,FW,19.0,6,3,231.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,0.2,0.7,1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.19,0.09,0.28,0.19,0.28,Matches,/en/players/ca73910d/Daniele-Montevago,ca73910d,Sampdoria
Marios Oikonomou,gr GRE,DF,29.0,6,3,220.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.3,0.3,0.0,0.3,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.13,0.13,0.13,Matches,/en/players/3b9858f5/Marios-Oikonomou,3b9858f5,Sampdoria
Gerard Yepes,es ESP,MF,19.0,5,2,198.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.0,0.1,3.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04,Matches,/en/players/ee9040b4/Gerard-Yepes,ee9040b4,Sampdoria
Flavio Paoletti,it ITA,MF,19.0,12,1,284.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches,/en/players/3d6cee81/Flavio-Paoletti,3d6cee81,Sampdoria
Jesé,es ESP,FW,29.0,11,1,210.0,2.3,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.3,0.3,0.5,0.8,1.0,1.0,15.0,0.43,0.43,0.86,0.43,0.86,0.13,0.2,0.34,0.13,0.34,Matches,/en/players/4a537185/Jese,4a537185,Sampdoria
Ignacio Pussetto,ar ARG,"MF,DF",26.0,5,1,152.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.2,0.3,2.0,1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.09,0.11,0.2,0.09,0.2,Matches,/en/players/62437b4f/Ignacio-Pussetto,62437b4f,Sampdoria
Fabio Depaoli,it ITA,"DF,MF",25.0,3,1,136.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.4,0.6,2.0,10.0,6.0,0.0,0.0,0.0,0.0,0.0,0.12,0.26,0.38,0.12,0.38,Matches,/en/players/d97f2e8d/Fabio-Depaoli,d97f2e8d,Sampdoria
Emirhan İlkhan,tr TUR,MF,18.0,8,0,113.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,1.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.02,0.05,0.08,0.02,0.08,Matches,/en/players/a47c6309/Emirhan-Ilkhan,a47c6309,Sampdoria
Lorenzo Malagrida,it ITA,"MF,DF",18.0,6,0,109.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.1,0.3,1.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,0.12,0.09,0.21,0.12,0.21,Matches,/en/players/2bffcbf2/Lorenzo-Malagrida,2bffcbf2,Sampdoria
Manuel De Luca,it ITA,"FW,MF",24.0,2,0,44.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,/en/players/60e3603d/Manuel-De-Luca,60e3603d,Sampdoria
Andrea Conti,it ITA,DF,28.0,1,0,23.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,/en/players/8fef5412/Andrea-Conti,8fef5412,Sampdoria
Mihailo Ivanović,rs SRB,FW,17.0,1,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,/en/players/71c620d7/Mihailo-Ivanovic,71c620d7,Sampdoria
Samuel Ntanda,be BEL,MF,17.0,1,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.77,0.0,3.77,3.77,3.77,Matches,/en/players/48329ff8/Samuel-Ntanda,48329ff8,Sampdoria
Telasco Segovia,ve VEN,MF,19.0,1,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,/en/players/9142b22f/Telasco-Segovia,9142b22f,Sampdoria
